title,id,link,date,job_description,label,word_count
assistant director of nursing,sj_3c7e64c7996bb9d6,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BI8IerbVtBNz9lxt-gGwgL1yqzg7rkL65oBt9kXiGchRfMu5HD70ENCeZDeMdLuF3Q6xzcJEOdJs3kZF1vPa7hsSvWDw387HGAhy09ybLyjuHgMbirifct4XvSysIpp9rS6Ba6AU4LkoNkAgvufXadgt9JcsvxlhJuDKpnvDOFeBo5dzQWo7pFgkc2ydoCMEtW2iWHYK8s0NBZGIKl4r7fRa5BSkndStcyPVvOs74vHKeTHQ7SUXy9Jvocb78gEg_dj47DKiNE4DkFJO0_gAKH8J7zdVJ2_SA0SWcKExPMVuj8cvElgzB1sNgtlr6Tj_tvJYbJguf9j_ZbW40QusqIW71ACZtcIEQtNDB2ACq92fxa2jeykoUuFHgXBCVybxWvDPNxEKC8ZR-CQ2U-uxIe24BspMOf_Q7ubq8y7Rn2TC_ww1c3qeBtg0-HG1nayqXJlu8_Q8JQxpi2Orw0JMwSvDbknG-Palp8oXVzt3wQSEGXv7POm22gus8PSdFTRhqn53K7WFof92B7UKnzoXDCOCUog7ovhXz-0jUTkR7jGF9BISOe6IYI7eSukOK5IeKuwIwAbEZoHgZeUmjLEFn634S8b_7FwUAq9oF0v_2kip74rvbHu1veWC9xeqPIVLR7LE43bTRiSpyNt1sryfSapz_GPLdBSSY=&xkcb=SoAG6_M3G50qpcR9Np0LbzkdCdPP&p=0&fvj=1&vjs=3,"January 10, 2024","silver stream healthcare group offer great employment and training opportunities. we are committed to attracting and retaining professional and dedicated staff to help us provide the highest level of care possible to our residents and a peace of mind to their families.
our assistant director of nursing will carry out a range of duties to ensure that the care and well-being of residents is met satisfactorily, including assisting in future planning, supervision and control of all staff and deputising for director of nursing in their absence at our leeson park nursing home (10 leeson park, dublin 6, d06 tc65).
principal responsibilities:
supervising, and monitoring all staff in the course of their duties. complete staff weekly allocation sheets.
supervising and controlling arrangements for resident’s admissions/discharges. carry out home viewings as required. welcome new residents to the home. meet with families as required.
responsible for ensuring correct infection control procedures are adhered to and completing the monthly audit and send to clinical governance manager.
ensure next of kin contact numbers are kept up to date.
carry out weekly home reviews and weekly cleaning audits. send reports to clinical governance manager.
supervise staff nurses to ensure that care plans are updated regularly and that the accurately reflect the residents’ current needs.
responsible for the weekly care indicator report – send to clinical governance manager every monday.
observe and monitor the physical and mental well-being of residents and ensure that appropriate action is taken as required. encourage residents in taking decisions which affect their lifestyle physically, socially and their religious requirements.
ensuring that the provision of care includes, where required, contact and services from the appropriate gp and community nursing services and allied healthcare professionals and that instructions are carried out and administered. each wednesday following the tuesday gp round ensure instructions are followed and document in care plans where required.
to report complaints by residents, their relative or agent and staff to d.o.n.
to report any allegations or suspicions of abuse to d.o.n. comply with the company’s policy on abuse and whistleblowing.
ensure that adequate stock levels of bedding, inco wear, etc, are held to meet residents’ requirements reporting any shortages to d.o.n.
liaise with residents’ relatives or agents as required and document in care plan.
assist d.o.n. with the implementation of regular fire drills.
respond to emergency situations and direct and control residents and staff.
deputise for d.o.n. in her absence.
requirements:
current registration with nmbi.
management / leadership qualification.
minimum 3 years experience in elderly care, excellent clinical skills as well as knowledge of hiqa standards and regulations.
min 2+ years experience as a cnm or 1 year as an adon within elderly care setting
you will be of good character, enjoy a challenge and take pride in achieved results
excellent computer skills and record keeping
experience in leading, motivating and supporting an effective and efficient team.
proven clinical competence and passionate about delivering outstanding care to older
benefits of working with us
competitive salary
refer a friend scheme
opportunities for career progression
paid training
education support
paid garda vetting
holiday entitlements
employee assistance programme
uniforms provided
onsite parking
meals provided
job types: full-time, permanent
salary: €26.00-€30.00 per hour
work authorisation:
ireland (required)
ability to commute:
dublin 6 d06 tc65 (required)
ability to relocate:
dublin 6 d06 tc65: relocate before starting work (required)
work location: in person",registered_nurse,556
clinical nurse manager (cnm),sj_358f1f68cde928c4,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AVCuTJkMSq0gqIpm6bhV7v6tYBRH9u_MNnmp83dQl-I38w5fsjm0KOQH0nDZjSOcOPYeWFJgadE8QI-f8AsCzthoXfTX1WmFazIZi6tjV2ing9wXyxXhp7lrHTEwHGw33TyV5MyVmDISWer-boO4hTAqMhmFiAtf7IDTnpI23K40Jij9Q0j6aW2aOWk820si5mPPWVhm7AIkSwW8dHZlrys2oP-ctiwHu5cwgK7ciV5OPb7h0mpWne8TXN-KHFWIZln_ehdQkSNO2_tZ7aoHStdDhELSKkzN7n0C3WtaW--k8LwviHm8BaMv07tLVWjGGLUNQ9hR_-tZ8imUhykD44K4RQ-ZndbqRvovo6zKTRGs7iY8lYX1UXgOFQLyPzJ5hhE0gfRllgdkKsd3IbKwd4HnS7gi9ZL55Awuh7XRmQPb_fYZPNJ-OvuflX2z22DL_EGrTcnFNl5VA-ZR52eEnqq9JktL8cmhMQbsCpLROzSsF2eS9A5ILOoEBR_A2ECD3mGLo-FvcVgx9-bBVyG9Ch-GmlSFUg4PALHicwMkW4_7nHUVblakfQAD0znGLIefY9CGJYbHyxSKOzhkyHYLW6jIqcjUmLBV98LHmVdNU0hU_Dtuq5BbXVtY1pmcRPQ1qxzSDuPIpO9FkhSUFnTLpY-QfpAirJSoQ=&xkcb=SoCy6_M3G50qpcR9Np0KbzkdCdPP&p=1&fvj=1&vjs=3,unknown,"create a better future for yourself !!
recruitnet international is hiring a clinical nurse manager (cnm) for nursing homes based in co dublin.
duties & responsibilities :
ensuring that the care center policies and best clinical standards are always practiced
working with different staff members in all areas to ensure that standards are maintained
perform comprehensive assessments of residents and monitor ongoing assessments and modifications.
supervise medication administration and compliance by nursing staff
review medication audits with director of nursing and improve standards
participate in training & development/performance appraisal for staff nurses and care assistants in conjunction with the director of nursing
review recent admissions ensuring appropriate assessments, planning implementation and evaluation of care is documented
in addition to observing practice, the cnm also monitors standards of cleanliness and hygiene, and fosters an effective working relationship and good communication between staff nurses, care assistants, and housekeeping staff
be responsible for daily activities including checking and managing rosters when required, attending handovers, reviewing resident progress
implement company health and safety policy to safeguard the safety and welfare of staff, residents and others
qualifications, skills and attributes :
bsc in general nursing or equivalent
previous managerial training / experience is an advantage
registered on the nmbi live register
excellent leadership, organisational and communication skills
sound decision making ability
ability to motivate self and others and work on own initiative
ability to work well and promote a team environment
results driven
benefits:
company events
on-site parking
wellness program
reference id: cnm - 10/01",registered_nurse,250
registered nurse,job_4e16e9830b072344,https://ie.indeed.com/rc/clk?jk=4e16e9830b072344&bb=TE49GnuibONkINj4JCuZw_cJJwdnqjVYXOfJSl1qW7xJf0ht7vKD7VC2ro2vcjckKBb3wf94BxGCodXv8d0QZe7jGCZ9WKX04GodtfMfFf0%3D&xkcb=SoDb67M3G50qpcR9Np0JbzkdCdPP&fccid=0c3184094c9dcfed&cmp=Access-Healtchare&ti=Registered+Nurse&vjs=3,"January 10, 2024","access healthcare, one of ireland’s leading healthcare agencies, is currently offering an exciting opportunity to become part of a welcoming team in one of the largest supported accommodation providers in the country. our client is known to encourage growth and development. the role would be best suited to an individual passionate about making a positive difference to the people they care for.
you can expect flexibility in terms of location, shift times and the number of hours you do as our dedicated consultants look to provide you with a schedule based on listening to the feedback you give. this will ensure we match your skills and experience levels to the requirements of clients.
benefits
· support: one-to-one support from a dedicated consultant.
· flexibility: ability to choose both when and where you work to suit your lifestyle and commitments.
· financial compensation: favourable financial rewards, paid weekly, with accessible holiday pay.
· experience: opportunity to work at several top facilities allowing you to gain exposure and learn new skills.
· free garda vetting and uniform.
· refer a friend benefit scheme.
requirements
· medication management.
· nmbi certification.
· bachelor’s degree in nursing.
· experience working in a healthcare facility in ireland (6 months preferred).
· must be eligible to work in ireland.
· ability to work on own initiative and as part of a team.
if you wish to join our ever-growing team or if you want to hear more about the opportunities on offer in south dublin, feel free to reach out to aaron duffy at (01) 960 9241.
education:
bachelor's (preferred)
experience:
nursing: 1 year (preferred)
licence/certification:
driving licence (preferred)
nursing and midwifery board of ireland registration (preferred)
work location: in person",registered_nurse,285
staff nurse,job_25a417a6373967b4,https://ie.indeed.com/rc/clk?jk=25a417a6373967b4&bb=TE49GnuibONkINj4JCuZw_AVMdstKXZNMeLCN3UzcCQ5OidMRSAIyygKGBJCqxx1mmAvMLXW7bLNI68mAKD-STz4UoXQiTA2F2xU_OrlIcc%3D&xkcb=SoBv67M3G50qpcR9Np0IbzkdCdPP&fccid=9a7686246ce73e52&cmp=TTM-Healthcare&ti=Registered+Nurse&vjs=3,"January 10, 2024","are you a dedicated and compassionate staff nurse looking for an exciting permanent opportunity in dublin? ttm healthcare solutions, ireland's leading provider of nurses, is thrilled to partner with a prominent intellectual disability organisation for this fantastic role!
at ttm, we understand that your career is more than just a job—it's a journey. joining us means being part of a healthcare family that prioritises your needs and interests throughout the recruitment process.
here's what we offer:
leading pension scheme: securing your financial future with a top-notch pension plan
consistent training: stay ahead in your field with ongoing professional development
career progression: opportunities to grow and advance within a dynamic organization
work-life balance: we believe in supporting your well-being for a healthier, happier you
superb facilities: work with an organization that is not just growing but thriving
requirements:
to qualify for this fulfilling role, you'll need:
registered with nmbi: your essential ticket to providing top-notch healthcare
third level nursing qualification: demonstrating your commitment to excellence
valid driver's licence (manual): ensuring you're ready for the journey
how to apply: if you're ready to make a positive impact and embark on an exciting journey, apply now for immediate interviews! contact ian on 015136740 (181) or email ian.byrne@ttmhealthcare.com.
expected hours: 30 per week
supplemental pay types:
overtime pay
education:
bachelor's (required)
licence/certification:
driving licence (required)
nursing and midwifery board of ireland registration (required)
work location: in person",registered_nurse,233
clinical research nurse - cardiology (cnm2),job_303eee71cce63f3d,https://ie.indeed.com/rc/clk?jk=303eee71cce63f3d&bb=TE49GnuibONkINj4JCuZw1-ZFd5P3AvJuRHaW9ZCK1Eowql2qYbD7O32kAAYatJNLfcCIaB0xzTWIqFL-pDSsTZmGt1VO_3ycnzzD32Owog%3D&xkcb=SoDh67M3G50qpcR9Np0PbzkdCdPP&fccid=63c3e9e0179e75ed&vjs=3,"January 10, 2024","clinical research nurse - cardiology (cnm2)

we are seeking to recruit a highly motivated clinical research nurse (cnm ii) to join our cardiovascular research institute dublin team in a full time, permanent contract position.

purpose of the post:
the clinical research nurse will work as part of the research team in the cardiovascular research institute dublin at the mater private hospital. the position will involve participant recruitment, database management and coordination of study visits, as part of a multidisciplinary team.

application criteria:

registered general nurse
be on the live register with the nursing and midwifery board of ireland
have at least 5 years post-registration experience in an acute general setting
minimum of 2 years post registration experience in cardiology therapeutic area
have proven clinical and managerial ability, leadership and organisational skills
excellent inter-personal skills required to integrate as part of a diverse research team
excellent it skills
leadership and management skills
knowledge of issues relating to nurse education and development

desirable:
have proven clinical research experience
post graduate qualification in research or cardiology

application is via cv and closing date for receipt of applications is: 28th january 2024

mater private network is an equal opportunities employer",registered_nurse,196
clinical nurse specialist - chest pain,job_4c3a97c49465fb6b,https://ie.indeed.com/rc/clk?jk=4c3a97c49465fb6b&bb=TE49GnuibONkINj4JCuZw6aNwAVvWpn2SSUSGgejkv2M_RUn-Lt4iczt0G7dhrQKFBZ-uKqEVZ1HimR6290aTxlb2goV1_Eb2_l9g-UUjaw%3D&xkcb=SoBV67M3G50qpcR9Np0ObzkdCdPP&fccid=6301faef2b55eb25&vjs=3,"January 10, 2024","job description

clinical nurse specialist - chest pain

full time permanent contract

reference no: 01.007 (2024)

purpose of the role
practice safely and effectively, fulfilling their professional responsibility and working within their scope of practice in the chest pain service, under the guidance of the nmbi cns core competencies.
expedite the assessment and treatment of patients presenting to the emergency department (ed)/ acute medical assessment unit/ rapid access chest pain clinic with low risk ambulatory non acs chest pain.
undertake a comprehensive health history with a focus on history of presenting complaint and performing an advanced physical assessment.
formulate a differential diagnosis and a collaborative management plan, based upon assessment and in discussion with the ranp, a cardiology registrar or consultant cardiologist, prior to implementation.
evaluate patient progress at each assessment and determine appropriate management in discussion with ranp, cardiology registrar or consultant cardiologist.
educate the patient at every opportunity and interaction, to promote healthy living and informed decisions about their condition and care, and documenting all actions and interventions in the health care record.

qualifications
2. remuneration:
there are three superannuation schemes currently in operation for staff in tallaght university hospital:

(a) voluntary hospital superannuation scheme (non-new entrant)
(b) voluntary hospital superannuation scheme (new entrant)
(c) single public service pension scheme

please read carefully the summary of the criteria for the three superannuation schemes below. this will assist you in identifying which scheme membership is applicable to your employment circumstances.

(a) if you have been continually employed in the public service prior to the 1st april 2004 and you have not had a break in service of more than 26 weeks, you will be included in the voluntary hospital superannuation scheme (non-new entrant) with a minimum retirement age of 60 and a maximum retirement age of 65.

(b) if you have been continually employed in the public service post the 1st april 2004 and you have not had a break in service of more than 26 weeks, you will be included in the voluntary hospital superannuation scheme (new entrant) with a minimum retirement age of 65. there is no maximum retirement age.

(c) if you have commenced employment in the public service as a new entrant or you are a former public servant, returning to the public service after a break of more than 26 weeks, you will be included in the single public service pension scheme effective from the 1st january 2013 with a minimum retirement age of 66 (rising to 67 and 68 in line with state pension changes). the maximum retirement age under this scheme will be age 70.

4. duties:
the cns will perform such duties as are outlined in this job description.

5. hours of work:
normal working hours 37.5 hours worked over 7 days. your contracted hours of work are liable to change between the hours of 8 am to 8 pm over 7 days to meet the requirements for extended day services in accordance with the terms of the framework agreement.

6. probation:
the successful candidate will be appointed initially for a probationary period of 6 months. during the probationary period progress or otherwise will be monitored and at the end of the probationary period the service will (a) be certified as satisfactory and confirmed in writing or if not satisfactory, the probationary period may be extended by 3 months.

7. annual leave:
annual leave entitlement is 25-28 working days (pro rata), depending on length of service, plus 10 bank holidays per annum as they occur. the annual leave year runs from 1st of april to 31st march each year.

8. sick leave:
payment of salary during illness will be in accordance with arrangements as approved from time to time by the department of health and children.

9. termination of office:
the employment may be terminated at any time by two months’ notice on either side except where circumstances are dictated by the minimum notice and terms of employment act 1973/91. the management’s right under this paragraph shall not be exercised save in circumstances where the management is of the opinion that the holder of the office has failed to perform satisfactorily the duties of the post or has misconducted himself/herself in relation to the post or is otherwise unfit to hold the appointment.

general accountability
maintain throughout the hospital awareness of the primacy of the patient in relation to all hospital activities.
encourage recognition of the patient as an individual, ensuring patients’ needs and comfort are given priority.
work within the scope of practice
comply with all existing hospital policies
demonstrate knowledge of the hospital/departmental emergency plans
ensure the provision of a high standard of care to the patient and families is consistent with the mission, vision, values and strategic plan of the hospital.
demonstrate behaviour consistent with the values of the hospital.
reporting relationship will be to the assistant director of nursing.
be professionally accountable to the director of nursing.
refer to and comply with the scope of practice framework as stated by the nursing and midwifery board of ireland in relation to all components of the position: clinical role, patient advocate role, educational role, consultative role and audit role.
work within his/ her scope of practice
comply with all existing hospital policies

specific accountability

clinical role
work in partnership with the registered advanced nurse practitioner (ranp) in cardiology.
work with the clinical nurse managers in the emergency department (ed) acute medical assessment unit (amau), the general out-patient department (opd), cardiac rehabilitation, and heart efficiency, the medical and diagnostic team, the consultant cardiologists, ed/ amau consultants, and cardiology registrars.
provide a policies, protocols, procedure and guideline (pppg) led specialist nursing service for those cardiac patients attending the ed/ amau and opd departments, with the focus on non-acs suspected stable coronary heart disease (scad).
aim to safely avoid admission for non-acs patients by undertaking comprehensive chest pain assessment and facilitating appropriate discharge follow up plan.
work with cardiology, ed/ amau, opd nursing and medical teams and the multidisciplinary teams to provide a quality service to patients.
perform a focused clinical health history, a focused physical assessment of the cardiovascular, thoracic, gi and musculoskeletal systems, risk factor evaluation, and planning and evaluating preliminary investigations.
aim to expedite diagnostic and treatment pathways for non-acs patients.
plan and run nurse led clinics (chest pain assessment clinics & post pci clinic)
discuss all cases with the cardiology ranp/ cardiology registrar to implement the plan of care, including the discharge of patients from ed/ amau/ opd to gp and or opd care or admission under cardiology.
identify patients’ physical, social and psychological needs and refer to other agencies/ teams as warranted.
provide risk factor evaluation and education to all patients as appropriate.
take a pro-active role in the formulation of evidence based competencies, policies, protocols and guidelines for practice for both ed/ amau and opd services.
actively promote the liaison and co-ordination of care for patients between the hospital and the primary care setting , dictating correspondence to the patients gp

patient advocate role
communicate with patients and families, assess needs and provide relevant support, information, education and advice as necessary.
act as the patients advocate when necessary, especially in informed discussion to promote the patients’ participation in decision making thereby enabling informed choice of treatment options.
be expected to promote within the cardiac services and throughout the hospital an awareness of the primacy of the patient in relation to all hospital activities.
ensure the provision of a high standard of care to the patient and families is consistent with the mission, vision, values and strategic plan of the hospital.
actively promote cardiac health issues within the hospital and within the community using various forums, clinics, committees and patient information leaflets.
educational role
be expected to deliver structured and opportunistic educational opportunities to facilitate staff and patient education. this will include educational sessions for pre and post registration nurses, & ed/ amau nchds.
undertake continuing professional development through formal and informal educational opportunities thus ensuring continuing credibility amongst nursing, medical and allied health professionals. (ncnm 2001)
manage workload effectively, ensuring appropriate use of available time.
make effective use of developments in information technology for both patient care and administrative support in a manner, which integrates well with systems throughout the organisation.
consultative role
be expected to facilitate and promote effective communications between the medical staff, nursing staff, allied health professionals, hospital staff, the patients and their families.
actively participate in change management and developments within the area.
identify and plan with support from the nurse practice development department, in consultation with the ranp cardiology, adon and director of nursing requirements for the service at a strategic level.
develop a flexible and innovative approach, forming links with other specialists.
liaise with the nursing and midwifery board of ireland and the nmpdu leinster as necessary.
participate in relevant committees at an organisational level and also at a national level where possible.
demonstrate leadership qualities as defined by the office of health management. (tohm 2002)

audit role
be expected to audit current nursing practice and evaluate improvements in the quality of patient care within the service.
conduct audits on service activity and an annual report on the cardiology ed and out-patient nursing services within tallaght university hospital.
conduct nursing research relevant to the cardiology nursing services with support from the ranp cardiology & nurse practice development department.
maintain as required an asset register of appropriate equipment.
ensure that expenditure within the department is controllable within agreed budgets/ cash limits and in compliance with hospital financial plan.
co-ordinate and maintain equipment and monitor the use of resources to ensure that unnecessary expenditure by misuse does not occur.
participate in cost awareness and cost control policies in the department.

information technology
ensure that the team makes the most effective and efficient use of developments in information technology for both patient care and administrative support in a manner, which integrates well with systems throughout the organisation.
ensure that all staff are trained in the use of computer systems, which are used in the management of patient episodes in the hospital, e.g.: epr, pims, order comms, symphony, sap, core.

health & safety
ensure the compliance of all your staff with the safety, health and welfare at work act, 2005.
comply and enact health and safety responsibilities as outlined in hospital policies, protocols and procedures relevant to your area.
prepare risk assessments and departmental safety statements as required.

hygiene/infection control
ensure you are aware of your responsibility for hygiene awareness. hygiene is defined as “the practice that serves to keep people and environments clean and prevent infection.”
act as a role model and actively promote infection control and prevention and ensure that staff in your area familiarise themselves with the hospital infection control policies and guidelines as outlined in the infection control manual.
ensure that staff in your area are aware that they work in an area where there is potential for transmission of infection.
ensure that all your staff are advised that they have a responsibility to prevent the transmission of infection particularly in relation to hand hygiene.

quality, safety and risk management
support the delivery of the quality, safety and risk management programme, including the appropriate identification, reporting and management of risks and incidents throughout the hospital.

confidentiality
you will be aware of the confidential nature of hospital work and in particular, the right of patients to confidentiality. to this end, you will not discuss workings of the hospital or its patients or disclose any information of a confidential nature except as required to do so in the course of your work. no records, documents or property of the hospital may be removed from the premises of the hospital without prior authorisation. you must return to the hospital upon request and, in any event, upon the termination of your employment, all documents or other property of the hospital which are in your possession or under your control.

data management
ensure compliance with the obligations required by the data protection act 2018.

development of hospital groups
the hospital structure is currently under review and therefore, reporting relationships may change. the development of hospital groups may require the post-holder to adopt a different reporting relationship and additional accountabilities. full consultation will take place in advance of any such change.

note: the extent and speed of change in the delivery of health care is such that adaptability is essential at this level of appointment. the appointee will be required to maintain, enhance and develop their knowledge, skills and aptitudes necessary to respond to this changing environment. they will also be required to participate in and support the hospital’s digital transformation strategy which may impact work processes and role profiles in the future. the job description must therefore be regarded as an outline of the major areas of accountability at the present time, which will be reviewed and assessed on an on-going basis as advancements and developments evolve.

general

applications can be submitted ‘on-line’ at www.tuh.ie/careers by completing the application form and attaching your cv.

candidates should be aware that, when applying for a post through the 'on-line' application system (candidate manager) they will receive an automated replying acknowledging receipt of their application. should you for any reason, not receive this automated acknowledgement, you should notify the human resources department, before the closing date, otherwise your application will not be considered.

closing date: before close of business on: 24th january 2024

informal enquiries to margaurita o’brien medical adon - telephone (01) 4144187 or email margaurita.obrien@tuh.ie

all candidates should note that, in order to maintain a timely process, the closing date and time for receipt of applications will be strictly adhered to",registered_nurse,2275
practice nurse,job_5e2a45e7ea7b34db,https://ie.indeed.com/rc/clk?jk=5e2a45e7ea7b34db&bb=TE49GnuibONkINj4JCuZw1fomCghrzUGr6VIeVtwpB1jlTUVPzDyEmoMoUpmZIeGqQZm-VFsR80r9_PYgt2F0VlnxuoXb55xqcgnaYn0Sbw%3D&xkcb=SoDI67M3G50qpcR9Np0NbzkdCdPP&fccid=870d71e80a869869&cmp=Kinsealy-Medical-Centre&ti=Practice+Nurse&vjs=3,"January 10, 2024","practice nurse required for friendly, fully computerised practice (socrates) in north county dublin.
excellent practice support staff in welcoming environment.
will work closely with practice nurse already in place as part of current team, along with three gps, one gp registrar, practice manager and full support staff.
very competitive salary.
flexible days but ideally full-time.
high proficiency in phlebotomy and must be a registered general nurse with an bord altranais.
duties to include phlebotomy, ecg’s, abpm’s, immunisations & chronic disease management
practice nurse experience desirable but not essential
wonderful opportunity for right candidate.
ideal start date march/april 2024.
work location: in person",registered_nurse,102
dental nurse,job_fce230e531ab807e,https://ie.indeed.com/rc/clk?jk=fce230e531ab807e&bb=TE49GnuibONkINj4JCuZw8Bo0yN0284yQJjmbubTGvfpTHFYSgcg05P4k3Zcc1e1BlCTsiVKHHex1fUWm9UaYPUsiSb-aVKitv1pv9XADq4%3D&xkcb=SoB867M3G50qpcR9Np0MbzkdCdPP&fccid=0c3184094c9dcfed&cmp=Access-Healtchare&ti=Dental+Nurse&vjs=3,"January 10, 2024","access healthcare, one of ireland’s leading healthcare agencies, is currently offering an exciting opportunity to become part of a welcoming team in one of the largest supported accommodation providers in the country. our client is known to encourage growth and development. the role would be best suited to an individual passionate about making a positive difference to the people they care for.
you can expect flexibility in terms of location, shift times and the number of hours you do as our dedicated consultants look to provide you with a schedule based on listening to the feedback you give. this will ensure we match your skills and experience levels to the requirements of clients.
benefits
· support: one-to-one support from a dedicated consultant.
· flexibility: ability to choose both when and where you work to suit your lifestyle and commitments.
· financial compensation: favourable financial rewards, paid weekly, with accessible holiday pay.
· experience: opportunity to work at several top facilities allowing you to gain exposure and learn new skills.
· free garda vetting and uniform.
required education skills and qualifications;
possess a relevant qualification in dental nursing.
at least 6 months experience working within the field
proof of eligibility to work in ireland
practical experience in the irish healthcare system.
be a mindful reflective professional
an ability to demonstrate flexibility and reliability
if you wish to join our ever-growing team or if you want to hear more about the opportunities on offer in south dublin, feel free to reach out to aaron duffy at (01) 960 9241.
experience:
healthcare: 1 year (preferred)
licence/certification:
driving licence (preferred)
qqi level 5 in healthcare (preferred)
work location: in person",registered_nurse,276
practice nurse,job_89dc9972030028a6,https://ie.indeed.com/rc/clk?jk=89dc9972030028a6&bb=TE49GnuibONkINj4JCuZw9ky_B3KUBX58VIgOXxzE4BtyRc7VLUANBg7kiOwTfKywI8psqctvN7iWMNDWVnR5yBgSyDbnfvqMxg6C8V8f7w%3D&xkcb=SoCV67M3G50qpcR9Np0DbzkdCdPP&fccid=154db6d0f93baf7c&cmp=Practice-Nurse-Recruitment&ti=Practice+Nurse&vjs=3,"January 10, 2024","practice nurse required for surgery in glasnevin.
hours available either 5 or 3 days a week.
the candidate must be nmbi rgn registered with 3+ years post experience in acute settings ideally such as ed & icu.
practice experience would be ideal but training can be provided.
experience with:
phlebotomy
vaccinations
ecg's
blood pressure monitoring
wound management is desirable
work location: in person",registered_nurse,63
registered psychiatric nurse,job_b3b9dee432265633,https://ie.indeed.com/rc/clk?jk=b3b9dee432265633&bb=TE49GnuibONkINj4JCuZw-4FcLPYTYV6DA4XDnxMNDnjGLKtdCTh4KZPesKJnGY3XBMIXav9xxaToK-IawIoU76I5JHive91v5pe8IZbyFI%3D&xkcb=SoAh67M3G50qpcR9Np0CbzkdCdPP&fccid=0c3184094c9dcfed&cmp=Access-Healtchare&ti=Psychiatric+Nurse&vjs=3,"January 10, 2024","access healthcare, one of ireland’s leading healthcare agencies, is currently offering an exciting opportunity to become part of a welcoming team in one of the largest supported accommodation providers in the country. our client is known to encourage growth and development. the role would be best suited to an individual passionate about making a positive difference to the people they care for.
you can expect flexibility in terms of location, shift times and the number of hours you do as our dedicated consultants look to provide you with a schedule based on listening to the feedback you give. this will ensure we match your skills and experience levels to the requirements of clients.
benefits
· support: one-to-one support from a dedicated consultant.
· flexibility: ability to choose both when and where you work to suit your lifestyle and commitments.
· financial compensation: favourable financial rewards, paid weekly, with accessible holiday pay.
· experience: opportunity to work at several top facilities allowing you to gain exposure and learn new skills.
· free garda vetting and uniform.
· refer a friend benefit scheme.
requirements
· medication management.
· nmbi certification.
· bachelor’s degree in psychiatric nursing.
· experience working in a healthcare facility in ireland (6 months preferred).
· must be eligible to work in ireland.
· ability to work on own initiative and as part of a team.
if you wish to join our ever-growing team or if you want to hear more about the opportunities on offer in south dublin, feel free to reach out to aaron duffy at (01) 960 9241.
education:
bachelor's (preferred)
experience:
nursing: 1 year (preferred)
licence/certification:
driving licence (preferred)
nursing and midwifery board of ireland registration (preferred)
work location: in person",registered_nurse,286
